id,value,feed_id,created_at,lat,lon,ele
0F3JD01RY5419QWNYZ8C04B65F, 1.84,2307251,2022-08-26 22:08:45 UTC,,,
0F3JD04HWHEY5RCAYCPRT4WG6G, 1.40,2307251,2022-08-26 22:08:54 UTC,,,
0F3JD079QF61F711N5R5890KE9, 2.82,2307251,2022-08-26 22:09:03 UTC,,,
0F3JD09XYKNT41C91VFZA5TCPA, 4.85,2307251,2022-08-26 22:09:11 UTC,,,
0F3JD0CVG6YGGZMM2M18GJ1WCQ, 1.40,2307251,2022-08-26 22:09:21 UTC,,,
0F3JD0FGK9G2E2V1KENAXNRXWY, -0.80,2307251,2022-08-26 22:09:30 UTC,,,
0F3JD0JH0GYWAMN8KKEBGWBW28, 2.03,2307251,2022-08-26 22:09:39 UTC,,,
0F3JD0MZBZXTS2H3ZZS0AHQFYM, 1.82,2307251,2022-08-26 22:09:47 UTC,,,
0F3JD0QNVHEY971YXNGAE83X9D, 0.41,2307251,2022-08-26 22:09:56 UTC,,,
0F3JD0TCV2BQ2CME9VMDA6XTC4, -3.24,2307251,2022-08-26 22:10:05 UTC,,,
0F3JD0X38V2SBFDMCM0QGQ2731, 0.81,2307251,2022-08-26 22:10:14 UTC,,,
0F3JD0ZTGD2FDARQABKJ80QTWG, -1.97,2307251,2022-08-26 22:10:23 UTC,,,
0F3JD12HY2CZSGC88VZKH770G1, 1.40,2307251,2022-08-26 22:10:32 UTC,,,
0F3JD15J6KWFC9YJRJ39175KZR, -0.44,2307251,2022-08-26 22:10:42 UTC,,,
0F3JD189AWVM2S9DS6ZGB6PV0N, 2.33,2307251,2022-08-26 22:10:51 UTC,,,
0F3JD1B0BP3R905SQT0GK7CT3T, 0.64,2307251,2022-08-26 22:11:00 UTC,,,
0F3JD1DQ5ASPWT5CNWEQ8BCCZF, 1.40,2307251,2022-08-26 22:11:09 UTC,,,
0F3JD1HYVSPNYGVADSD17A5BFD, -144.78,2307251,2022-08-26 22:11:22 UTC,,,
0F3JD1K4HQ75024S4WRKNYNJD8, -47.14,2307251,2022-08-26 22:11:26 UTC,,,
0F3JD1NW3N120G51GF7A2Q85T3, 112.80,2307251,2022-08-26 22:11:35 UTC,,,
0F3JD1T3PZC7YGNAF68PHZH48T, -222.44,2307251,2022-08-26 22:11:49 UTC,,,
0F3JD1V9S41THBE4DBC93D6GSD, 154.43,2307251,2022-08-26 22:11:53 UTC,,,
0F3JD211TQF9JQKDRB4JH0ARPX, -64.73,2307251,2022-08-26 22:12:12 UTC,,,
0F3JD23R9EKNMN3YECPDGCTJBW, 33.66,2307251,2022-08-26 22:12:21 UTC,,,
0F3JD29CKS2E5TTN8QW79V7QNF, 20.58,2307251,2022-08-26 22:12:39 UTC,,,
0F3JD2BWWXW4GBXSNH1J8GW1WP, -0.29,2307251,2022-08-26 22:12:47 UTC,,,
0F3JD2EM48Z1MGC56ZY44R418R, 6.09,2307251,2022-08-26 22:12:56 UTC,,,
0F3JD2HE0HB9Y1EZBPR9Q0D4DK, 0.33,2307251,2022-08-26 22:13:06 UTC,,,
0F3JD2M27M190WZJ2J06QCJ8R9, 0.94,2307251,2022-08-26 22:13:14 UTC,,,
0F3JD2Q2PFGHBN1PQ8XR7CYBRK, 2.74,2307251,2022-08-26 22:13:24 UTC,,,
0F3JD2SSGH614P34NDMSXV3XHP, -3.23,2307251,2022-08-26 22:13:33 UTC,,,
0F3JD2WGG639PF1TGB5P74CWHE, -0.60,2307251,2022-08-26 22:13:42 UTC,,,
0F3JD37CR3SC1PX7DAFWY27RVY, -4.33,2307251,2022-08-26 22:14:18 UTC,,,
0F3JD3A2V6X7A74F9VBSYXWTCN, 4.09,2307251,2022-08-26 22:14:26 UTC,,,
0F3JD3CT75V3V4N23HTTX465YB, 1.76,2307251,2022-08-26 22:14:35 UTC,,,
0F3JD3FTXE53KBZ85HVM1WJQMW, 1.86,2307251,2022-08-26 22:14:45 UTC,,,
0F3JD3JHKTDKXZAZV2SA35GKMN, -1.91,2307251,2022-08-26 22:14:54 UTC,,,
0F3JD3N9EB6M834VNHCG6D4JW1, 1.89,2307251,2022-08-26 22:15:03 UTC,,,
0F3JD3QZMJ3XXHKEYYTDY9JSRF, -3.60,2307251,2022-08-26 22:15:12 UTC,,,
0F3JD3TPCBPTG3VJE19VM8Z1MZ, 3.43,2307251,2022-08-26 22:15:21 UTC,,,
0F3JD3XDETF3032GC611JMJ9S0, -1.17,2307251,2022-08-26 22:15:30 UTC,,,
0F3JD40C3T6AMWQ22B97HMANH0, 3.16,2307251,2022-08-26 22:15:39 UTC,,,
0F3JD42V3V6JF4BERDMGV08TP5, 2.97,2307251,2022-08-26 22:15:47 UTC,,,
0F3JD45J0KVPSVATHCJWNPWM17, 0.75,2307251,2022-08-26 22:15:56 UTC,,,
0F3JD48JKV0JEDC2NGV1SJTEEZ, 0.01,2307251,2022-08-26 22:16:06 UTC,,,
0F3JD4B97NWM4X0V8K9AGH5BJ6, -4.41,2307251,2022-08-26 22:16:15 UTC,,,
0F3JD4E107S9ZVGPZB0EFPCFR4, 7.10,2307251,2022-08-26 22:16:24 UTC,,,
0F3JD4GQ8SX1RNGQBEWZKHQKPQ, 1.08,2307251,2022-08-26 22:16:33 UTC,,,
0F3JD4KEMN5QGK5AW0X4DCK86A, -1.18,2307251,2022-08-26 22:16:42 UTC,,,
0F3JD4P5SHKPQKFWAWKTYXBHZA, 0.98,2307251,2022-08-26 22:16:51 UTC,,,
0F3JD4RWDVB4HXBPJ4DR39B5CE, 0.57,2307251,2022-08-26 22:17:00 UTC,,,
0F3JD4VKNR0FRVVZKNGXHNGRF6, -2.65,2307251,2022-08-26 22:17:09 UTC,,,
0F3JD4Y9YSZWM4MWVSBJ3WJ6QW, 1.72,2307251,2022-08-26 22:17:17 UTC,,,
0F3JD51ASRYP8BKDHTD57GS6DF, 0.80,2307251,2022-08-26 22:17:27 UTC,,,
0F3JD543ABSQH81GGEA5XDE1JG, -4.11,2307251,2022-08-26 22:17:36 UTC,,,
0F3JD56RVG8DE7BJJMMPQ8F8QK, -0.97,2307251,2022-08-26 22:17:45 UTC,,,
0F3JD59FMP55M8BK3GJ0E01JY4, -0.08,2307251,2022-08-26 22:17:54 UTC,,,
0F3JD5C6J0YD4KHQ3MWQ5RKET6, -1.04,2307251,2022-08-26 22:18:03 UTC,,,
0F3JD5EXMN2BXS56AM67DBFM67, -2.10,2307251,2022-08-26 22:18:12 UTC,,,
0F3JD5HM71DNFCJ6QSH9NM33M1, -1.00,2307251,2022-08-26 22:18:21 UTC,,,
0F3JD5MAXSYQ8FSGZ2JH3A0SRK, -0.75,2307251,2022-08-26 22:18:30 UTC,,,
0F3JD5QC682VHN9QJEZWSFQ4V0, 1.11,2307251,2022-08-26 22:18:40 UTC,,,
0F3JD5T3ARPRS75KDC7PYR062Y, 2.58,2307251,2022-08-26 22:18:49 UTC,,,
0F3JD5WT1JXMD0KJ3EEHHMHWSF, 1.55,2307251,2022-08-26 22:18:57 UTC,,,
0F3JD5ZGZYFY92G3RMV2EAE3TJ, 1.65,2307251,2022-08-26 22:19:06 UTC,,,
0F3JD627WVA2531FAB2KY7H2FY, -5.54,2307251,2022-08-26 22:19:15 UTC,,,
0F3JD64Y9CA5RRZPR0X9JVHZD4, 0.50,2307251,2022-08-26 22:19:24 UTC,,,
0F3JD67NZ8CWAMVEJQ9N3PWKSX, -2.88,2307251,2022-08-26 22:19:33 UTC,,,
0F3JD6AC78EW3S2140H7ZB0BX8, 1.15,2307251,2022-08-26 22:19:42 UTC,,,
0F3JD6D3BNTNEFERMQXG7RFZ3X, -4.97,2307251,2022-08-26 22:19:51 UTC,,,
0F3JD6FT8JNSHKE96G9G24TZGR, -2.68,2307251,2022-08-26 22:20:00 UTC,,,
0F3JD6JTHK176NWNZGN4W1PHQ4, -3.37,2307251,2022-08-26 22:20:10 UTC,,,
0F3JD6NHFVMJMNMCY9J09NN23A, 0.09,2307251,2022-08-26 22:20:18 UTC,,,
0F3JD6R9E8H02QCMY967AAFB6P, -1.22,2307251,2022-08-26 22:20:27 UTC,,,
0F3JD6V11ARYR2810FMXMFSDGM, 1.30,2307251,2022-08-26 22:20:36 UTC,,,
0F3JD6XPMHM3W1X7183TT6PAXK, -2.43,2307251,2022-08-26 22:20:45 UTC,,,
0F3JD70DDYS39EZQY9CAAH6E8R, 4.59,2307251,2022-08-26 22:20:54 UTC,,,
0F3JD7351SGAQZDQ1H5DXKVQHA, -3.45,2307251,2022-08-26 22:21:03 UTC,,,
0F3JD75ZKESE54F1HAMFFQEWEJ, 0.96,2307251,2022-08-26 22:21:12 UTC,,,
0F3JD78K4P3XBV5TNQTSBVS73K, -3.67,2307251,2022-08-26 22:21:21 UTC,,,
0F3JD7BKNA4WG4KBBP9RX0JKSX, -3.74,2307251,2022-08-26 22:21:31 UTC,,,
0F3JD7EEBQPP15KNH8RERD15A8, -2.87,2307251,2022-08-26 22:21:40 UTC,,,
0F3JD7H0YXY4TDY6T6FCJ2NH2Z, 1.31,2307251,2022-08-26 22:21:49 UTC,,,
0F3JD7KQQ4Q0QRDH1KFC00Y2H5, -4.30,2307251,2022-08-26 22:21:57 UTC,,,
0F3JD7PETV2ADHVN03D2J4TZH0, -0.80,2307251,2022-08-26 22:22:06 UTC,,,
0F3JD7S72HHAG9BHCPHP2YYCBN, 2.89,2307251,2022-08-26 22:22:15 UTC,,,
0F3JD7VXEG90ABGEE1TZHXD3QG, 0.00,2307251,2022-08-26 22:22:24 UTC,,,
0F3JD7YMWJ9DZWSZPTQY9579BR, -4.28,2307251,2022-08-26 22:22:33 UTC,,,
0F3JD81CPCENBYJ71XRNW8S6JT, -3.76,2307251,2022-08-26 22:22:42 UTC,,,
0F3JD843Y68C3FGEAXGQZD7TDG, 24.45,2307251,2022-08-26 22:22:51 UTC,,,
0F3JD86VS5EQF7WV35CPAXEAWN, 95.34,2307251,2022-08-26 22:23:00 UTC,,,
0F3JD89K3RAP7FYDF1S87YY6SX, 168.02,2307251,2022-08-26 22:23:09 UTC,,,
0F3JD8CM2VM5C5J33ADBNC2PWZ, 200.04,2307251,2022-08-26 22:23:19 UTC,,,
0F3JD8FB1XZ4AVT6R13XCHEMQG, 222.02,2307251,2022-08-26 22:23:28 UTC,,,
0F3JD8J64864VW765P0A9GPANR, 231.80,2307251,2022-08-26 22:23:37 UTC,,,
0F3JD8MTKQ632ADA44B97BGD1R, 229.57,2307251,2022-08-26 22:23:46 UTC,,,
0F3JD8QH745HTTY4V06SC5M5SG, 223.44,2307251,2022-08-26 22:23:55 UTC,,,
0F3JD8T9A2179Y5W4YFPFEWK2V, 219.82,2307251,2022-08-26 22:24:04 UTC,,,
0F3JD8X0E34PAF8FW0RDJKGNV8, 223.07,2307251,2022-08-26 22:24:13 UTC,,,
0F3JD8ZQFCQFNRFCN83DS4QGGV, 221.69,2307251,2022-08-26 22:24:22 UTC,,,
0F3JD92F2210WDAHNAK9QSBD8Q, 217.41,2307251,2022-08-26 22:24:31 UTC,,,
0F3JD95BB4YXPVE17W0TX864T3, 214.04,2307251,2022-08-26 22:24:40 UTC,,,
0F3JD97XWAPFF1KEVRGAPEZ12G, 210.45,2307251,2022-08-26 22:24:48 UTC,,,
0F3JD9ANBT2DG3GKBTHGT2XXX8, 206.49,2307251,2022-08-26 22:24:57 UTC,,,
0F3JD9DCPJS6XD5BRE4QFSAV7Z, 203.49,2307251,2022-08-26 22:25:06 UTC,,,
0F3JD9G445J84ZS1Y4W69JBVJM, 197.94,2307251,2022-08-26 22:25:15 UTC,,,
0F3JD9JWEYBCVKE4ST4EK2YR7Q, 197.11,2307251,2022-08-26 22:25:24 UTC,,,
0F3JD9NXEMVC8Y5JR2T6K8W0RC, 193.36,2307251,2022-08-26 22:25:34 UTC,,,
0F3JD9RM9GRYBM9JE321GPJ2W1, 189.03,2307251,2022-08-26 22:25:43 UTC,,,
0F3JD9VBDRNV1CWKD0ZRFWF75F, 182.61,2307251,2022-08-26 22:25:52 UTC,,,
0F3JD9Y38C7WMDMSEJ7HAH632B, 174.21,2307251,2022-08-26 22:26:01 UTC,,,
0F3JDA0VYXXNGHR83WTDF1F3XW, 166.72,2307251,2022-08-26 22:26:10 UTC,,,
0F3JDA3HZ5VNEXC1SSK0TBN088, 164.29,2307251,2022-08-26 22:26:19 UTC,,,
0F3JDA691KFKNG7340KT6T668J, 152.48,2307251,2022-08-26 22:26:28 UTC,,,
0F3JDA9485N2RG0718KT4AGS2P, 149.06,2307251,2022-08-26 22:26:37 UTC,,,
0F3JDABRGN5WMYXR3Y9MDC8F19, 141.68,2307251,2022-08-26 22:26:46 UTC,,,
0F3JDAEEXPH7RQZSE74C4WJWJ0, 135.39,2307251,2022-08-26 22:26:55 UTC,,,
0F3JDAH72GDEJTCYFEKY65D60W, 138.62,2307251,2022-08-26 22:27:04 UTC,,,
0F3JDAKYBTNRV49B9BQJED6C37, 135.79,2307251,2022-08-26 22:27:13 UTC,,,
0F3JDAPNGNQCACRYQYFFGJ6K5Q, 133.59,2307251,2022-08-26 22:27:22 UTC,,,
0F3JDASD7TZCF1KS4Z4QEZC2PW, 132.15,2307251,2022-08-26 22:27:31 UTC,,,
0F3JDAWB0T8RW424VYP8HR92ED, 134.28,2307251,2022-08-26 22:27:40 UTC,,,
0F3JDAYW6WF0P8KE2ZHAMY5RZD, 137.22,2307251,2022-08-26 22:27:48 UTC,,,
0F3JDB1WZDNQS3P0M4RT6MWNPF, 132.42,2307251,2022-08-26 22:27:58 UTC,,,
0F3JDB4M4J1D1Y0X9S36P1JQ1G, 131.32,2307251,2022-08-26 22:28:07 UTC,,,
0F3JDB7B5PTMVWSPQSPFYVRANH, 129.01,2307251,2022-08-26 22:28:16 UTC,,,
0F3JDBA2JAC4TBGB4XT6GKA2Y9, 128.03,2307251,2022-08-26 22:28:25 UTC,,,
0F3JDBCT14NAEV2H5W8R56PWFZ, 119.28,2307251,2022-08-26 22:28:34 UTC,,,
0F3JDBFJ2X5YMTVXA309PT367Q, 125.48,2307251,2022-08-26 22:28:43 UTC,,,
0F3JDBJ97GS7738VZRAAMHTWNH, 124.60,2307251,2022-08-26 22:28:52 UTC,,,
0F3JDBN0GZPSHQYR3JSXPKRTK4, 118.45,2307251,2022-08-26 22:29:01 UTC,,,
0F3JDBQQTHQXVTW73828QDV4M6, 115.15,2307251,2022-08-26 22:29:10 UTC,,,
0F3JDBTFJCST52N25XYMQQCDG6, 117.60,2307251,2022-08-26 22:29:19 UTC,,,
0F3JDBX6FBJC2XZ3PWFFEWHC4R, 115.44,2307251,2022-08-26 22:29:28 UTC,,,
0F3JDC0284FMWTDTQT5YFBR9NT, 115.14,2307251,2022-08-26 22:29:37 UTC,,,
0F3JDC2NHKK7QKZ8PFHVGJJZBM, 109.00,2307251,2022-08-26 22:29:46 UTC,,,
0F3JDC5CYAK3A06CFPXKAM00XF, 109.93,2307251,2022-08-26 22:29:55 UTC,,,
0F3JDC851MKAY8H7CMBSVXYC1D, 106.68,2307251,2022-08-26 22:30:04 UTC,,,
0F3JDCAVKCA75BSR0PXPJRP7CE, 105.50,2307251,2022-08-26 22:30:13 UTC,,,
0F3JDCDXJ286BAD2PZP2XBEQ9Z, 108.20,2307251,2022-08-26 22:30:23 UTC,,,
0F3JDCGMHNTGN2GJECNY75EP6W, 103.88,2307251,2022-08-26 22:30:32 UTC,,,
0F3JDCKD6RBVW9QE3ENNM9J8W7, 98.70,2307251,2022-08-26 22:30:41 UTC,,,
0F3JDCP339JC2EZRKXZHZQWHYD, 100.17,2307251,2022-08-26 22:30:49 UTC,,,
0F3JDCRTGEQRMM6F5J82W8FMHD, 92.41,2307251,2022-08-26 22:30:58 UTC,,,
0F3JDCVJ85SXJ8QE906ZHGFAAR, 96.27,2307251,2022-08-26 22:31:07 UTC,,,
0F3JDCY9997VQ6C535QCGA7GX1, 92.35,2307251,2022-08-26 22:31:16 UTC,,,
0F3JDD10FGV2EX9C3K5F9C886D, 87.10,2307251,2022-08-26 22:31:25 UTC,,,
0F3JDD3R66X2FBHPQ2843Q1D83, 90.18,2307251,2022-08-26 22:31:34 UTC,,,
0F3JDD6FRF641A80T7DBVTV827, 86.45,2307251,2022-08-26 22:31:43 UTC,,,
0F3JDD96WTEBD79VFRT15Z66QE, 86.89,2307251,2022-08-26 22:31:52 UTC,,,
0F3JDDBYD6HEXXBT1PJ4AG8TXC, 87.78,2307251,2022-08-26 22:32:01 UTC,,,
0F3JDDENZE6MSNW46FYY011BPZ, 85.44,2307251,2022-08-26 22:32:10 UTC,,,
0F3JDDHDREG6RRTBZX3VVQSXYZ, 81.69,2307251,2022-08-26 22:32:19 UTC,,,
0F3JDDM518YVC8K1DGMDYKBWSX, 82.71,2307251,2022-08-26 22:32:28 UTC,,,
0F3JDDQ04ZPHVZK12JVWJQPXKB, 79.25,2307251,2022-08-26 22:32:37 UTC,,,
0F3JDDSWZ4JP5FQ1PR3ZAG05R4, 80.91,2307251,2022-08-26 22:32:47 UTC,,,
0F3JDDWM2R9P3JF332G2B8PDHH, 74.89,2307251,2022-08-26 22:32:56 UTC,,,
0F3JDDZC1KAJ6Z7T12KME38W2E, 75.53,2307251,2022-08-26 22:33:05 UTC,,,
0F3JDE22GKJSN6PAD2S4QN675B, 75.13,2307251,2022-08-26 22:33:14 UTC,,,
0F3JDE4SRC2K2RZKJH727899C1, 79.88,2307251,2022-08-26 22:33:22 UTC,,,
0F3JDE7HBT9W4YC12QMK3K3J39, 72.56,2307251,2022-08-26 22:33:31 UTC,,,
0F3JDEAAFCPG3KE32A5NS1AE2D, 73.44,2307251,2022-08-26 22:33:41 UTC,,,
0F3JDECZTMG6KXKKWK2WTRV1QB, 71.19,2307251,2022-08-26 22:33:49 UTC,,,
0F3JDEFPXH16RVK8WJW5SW5AJF, 77.70,2307251,2022-08-26 22:33:58 UTC,,,
0F3JDEJE80RYJVV2MH0JHVG928, 65.79,2307251,2022-08-26 22:34:07 UTC,,,
0F3JDEN5ZHVYBF01J7GCK2K86Q, 69.73,2307251,2022-08-26 22:34:16 UTC,,,
0F3JDEQXE4NV2PGBA7EECZT6DY, 63.14,2307251,2022-08-26 22:34:25 UTC,,,
0F3JDETMC58K7BEH25DKSMBG1Q, 65.55,2307251,2022-08-26 22:34:34 UTC,,,
0F3JDEXN7KZ3G3HH4XZSVX5DKH, 64.80,2307251,2022-08-26 22:34:44 UTC,,,
0F3JDF0BZG5GVXT804H0XM8981, 61.33,2307251,2022-08-26 22:34:53 UTC,,,
0F3JDF33YEJPM93CWKN43BB5TE, 59.74,2307251,2022-08-26 22:35:02 UTC,,,
0F3JDF5WDKWK2YC0DH8SP2KBM6, 58.32,2307251,2022-08-26 22:35:11 UTC,,,
0F3JDF8HRPK20YHYB370X80RNZ, 60.29,2307251,2022-08-26 22:35:20 UTC,,,
0F3JDFB9G6EM5MYZXJV7B2H8S4, 54.61,2307251,2022-08-26 22:35:29 UTC,,,
0F3JDFE5Z7HCKSZ030EQS39HPE, 56.76,2307251,2022-08-26 22:35:38 UTC,,,
0F3JDFGRMP6232MVCKKM5SC7FQ, 56.86,2307251,2022-08-26 22:35:47 UTC,,,
0F3JDFKF68HDJQPCXAKM4WMMVT, 56.34,2307251,2022-08-26 22:35:55 UTC,,,
0F3JDFP6636B1DQ2EH6TTS1XE1, 50.94,2307251,2022-08-26 22:36:04 UTC,,,
0F3JDFRY2HE7H1ZT5KBE34W5HF, 55.36,2307251,2022-08-26 22:36:13 UTC,,,
0F3JDFVMS6HDF7S2YX321K80P2, 51.47,2307251,2022-08-26 22:36:22 UTC,,,
0F3JDFYNDPZ95S0BBZFFV63Z3R, 52.28,2307251,2022-08-26 22:36:32 UTC,,,
0F3JDG1D813Z0D4PQSPVHP1996, 48.17,2307251,2022-08-26 22:36:41 UTC,,,
0F3JDG447HEFA8HB5CAJFA0WQN, 46.53,2307251,2022-08-26 22:36:50 UTC,,,
0F3JDG6VB1Y6TQY1HM8W4QJ6W9, 45.08,2307251,2022-08-26 22:36:59 UTC,,,
0F3JDG9JABYC2ZKEJ0SX6T83EN, 46.17,2307251,2022-08-26 22:37:08 UTC,,,
0F3JDGCA0RREHBM0M1G5WP0BTH, 46.27,2307251,2022-08-26 22:37:17 UTC,,,
0F3JDGF0ZFJ9E83AXKS5TGSE9S, 43.99,2307251,2022-08-26 22:37:26 UTC,,,
0F3JDGHRQ22V1K9SJ3TMYF0BJT, 40.06,2307251,2022-08-26 22:37:35 UTC,,,
0F3JDGMFFN04FG28HJFY2Y669C, 36.32,2307251,2022-08-26 22:37:44 UTC,,,
0F3JDGQ749GNEX7X9TNP6FE95K, 41.60,2307251,2022-08-26 22:37:53 UTC,,,
0F3JDGT9KX9WQW1VDVZ3JMTPXS, 38.88,2307251,2022-08-26 22:38:03 UTC,,,
0F3JDGWNE2GGM7AVCD9PYFZP0P, 41.70,2307251,2022-08-26 22:38:10 UTC,,,
0F3JDGZD54XGBRCSVRTJNG42J2, 41.96,2307251,2022-08-26 22:38:19 UTC,,,
0F3JDH2DJBYQDNQ58B9GV9E09A, 36.98,2307251,2022-08-26 22:38:29 UTC,,,
0F3JDH5C0HZDHSYM7QTBHJ7Q7B, 37.54,2307251,2022-08-26 22:38:39 UTC,,,
0F3JDH7WC84WQZB6ZQXFMPRFYP, 37.85,2307251,2022-08-26 22:38:47 UTC,,,
0F3JDHAPCMH353DB4PXF6H6H0E, 36.93,2307251,2022-08-26 22:38:56 UTC,,,
