id,value,feed_id,created_at,lat,lon,ele
0F372QTH5B4B5TQWRN61A7J1R3,496,2300344,2022-08-12 20:29:52 UTC,,,
0F372RFK14Z8QHAYT27MWSBAG2,500,2300344,2022-08-12 20:31:01 UTC,,,
0F372S4SWN65G32NG1MS38JSHF,512,2300344,2022-08-12 20:32:10 UTC,,,
0F372SSSNJ8EWR7Y8XMWRRPAHZ,490,2300344,2022-08-12 20:33:19 UTC,,,
0F372TEHH0Y1ARM1B4TA3C92EY,491,2300344,2022-08-12 20:34:27 UTC,,,
0F372V3HZA0SJKFSFE7Q2M7DRQ,491,2300344,2022-08-12 20:35:36 UTC,,,
0F372VRH60ZSYQN5D63EA30EJG,493,2300344,2022-08-12 20:36:44 UTC,,,
0F372WDQP224EE427ZFHE7YDG2,496,2300344,2022-08-12 20:37:54 UTC,,,
0F372X2Z0YCTMGX67RY1EWMJJZ,493,2300344,2022-08-12 20:39:03 UTC,,,
0F372XR0DHYNQQJTA11CDTNPWN,479,2300344,2022-08-12 20:40:12 UTC,,,
0F372YD4EAWY04VDQDVVBHPPWR,495,2300344,2022-08-12 20:41:22 UTC,,,
0F372Z24PMHCAY5K6XQEHQ7HJK,498,2300344,2022-08-12 20:42:30 UTC,,,
0F372ZQ1DCP1J274MSFZTM9FSE,495,2300344,2022-08-12 20:43:39 UTC,,,
0F3730C32X1H38ZY3KSNJ2R03D,499,2300344,2022-08-12 20:44:48 UTC,,,
0F373111SYQZGFSV7Q67J45GX1,494,2300344,2022-08-12 20:45:57 UTC,,,
0F3731PGFE5Q5J8D1H1EH98MEK,516,2300344,2022-08-12 20:47:07 UTC,,,
0F3732BPPPCK88AXGX1XCY2YTV,498,2300344,2022-08-12 20:48:16 UTC,,,
0F37330W095CWZYXH6Z5T4DMKA,496,2300344,2022-08-12 20:49:26 UTC,,,
0F3733P18YE6C77FGKXJ8D23A3,493,2300344,2022-08-12 20:50:35 UTC,,,
0F3734AX4S8RVEXP576Z0XGZVK,508,2300344,2022-08-12 20:51:43 UTC,,,
0F3734ZZ8S831YX7AVB77R1KRV,490,2300344,2022-08-12 20:52:52 UTC,,,
0F3735NCC3J2V8TJRYN27QJWB5,496,2300344,2022-08-12 20:54:03 UTC,,,
0F3736AS4TXS9VX493E8NB6B2E,486,2300344,2022-08-12 20:55:13 UTC,,,
0F3736ZE9DY0S68ARDEMSTC5AH,480,2300344,2022-08-12 20:56:20 UTC,,,
0F3737MKS8NXDWP4477JJ84XQ5,485,2300344,2022-08-12 20:57:30 UTC,,,
0F37389R2NV7E5THMRS7F0XRSB,499,2300344,2022-08-12 20:58:39 UTC,,,
0F3738YKCNJM1YD3P9VWSESA7E,499,2300344,2022-08-12 20:59:47 UTC,,,
0F3739KGYK5JJ1AK2Q5TT3RWFE,481,2300344,2022-08-12 21:00:56 UTC,,,
0F373A8RPKVA3A63PCG2CWJHAD,492,2300344,2022-08-12 21:02:06 UTC,,,
0F373AXW2DZDKSS569V89TJD5N,490,2300344,2022-08-12 21:03:15 UTC,,,
0F373BJRF8G7Z7Y93T7MK453Z9,494,2300344,2022-08-12 21:04:23 UTC,,,
0F373C7TW51CS19DDE2MTY9VD9,480,2300344,2022-08-12 21:05:32 UTC,,,
0F373CWYPYMDSCJXT0TWR6Z2Y1,492,2300344,2022-08-12 21:06:41 UTC,,,
0F373DHS3PF8YT4CPDNN73NWW9,509,2300344,2022-08-12 21:07:50 UTC,,,
0F373E6ZRJ3ZQK3AF89GFHR4SA,488,2300344,2022-08-12 21:08:59 UTC,,,
0F373EW73EEHAE6E5PQZKDTQTG,475,2300344,2022-08-12 21:10:09 UTC,,,
0F373FH9K5P3QY2X1SHFBXW0ZB,499,2300344,2022-08-12 21:11:18 UTC,,,
0F373G6DYVM93EFBZ2DSSBD2GH,492,2300344,2022-08-12 21:12:27 UTC,,,
0F373GVFF2ZETVTJ9M6ETSEEM6,478,2300344,2022-08-12 21:13:36 UTC,,,
0F373HGQ23MP7F1SSC4KFPKWAZ,490,2300344,2022-08-12 21:14:46 UTC,,,
0F373J652Y01WV2MGJQ1XWE857,489,2300344,2022-08-12 21:15:56 UTC,,,
0F373JTWVR121V23SVBKEXZ6J0,481,2300344,2022-08-12 21:17:04 UTC,,,
0F373KG5F4MYV4CNJG5M3D873F,501,2300344,2022-08-12 21:18:14 UTC,,,
0F373M5MQ3G2PWFZS4THRA2PFZ,496,2300344,2022-08-12 21:19:24 UTC,,,
0F373MV28AW0NJP3TC9X6X0FHV,500,2300344,2022-08-12 21:20:34 UTC,,,
0F373NG9NMGV43HT56P31A1C46,491,2300344,2022-08-12 21:21:44 UTC,,,
0F373P5G4CYBEM4MA6RTSAEQPP,496,2300344,2022-08-12 21:22:53 UTC,,,
0F373PV58774E97RESN0JRJXW9,491,2300344,2022-08-12 21:24:04 UTC,,,
0F373QGBTX4RMYFBTT0ZY7GVMR,479,2300344,2022-08-12 21:25:14 UTC,,,
0F373R5CEQ8QTR62SJWX4CTA27,482,2300344,2022-08-12 21:26:23 UTC,,,
0F373RTN2MSVCTS5PAGX50QPB1,482,2300344,2022-08-12 21:27:32 UTC,,,
0F373SFH4R7FF6GX8JFZ4CHZ1Z,483,2300344,2022-08-12 21:28:41 UTC,,,
